order,gender,home,university,major,before.university,post.university,qq.time,wechat.time,qq.strangers,qq.friends,qq.useful,qq.facilities,qq.knowledge,qq.easy,qq.privacy,qq.enjoyful,qq.habit,qq.social,qq.social.2,qq.important,qq.good,wechat.strangers,wechat.friends,wechat.useful,wechat.facilities,wechat.knowledge,wechat.easy,wechat.privacy,wechat.enjoyful,wechat.habit,wechat.social,wechat.social.2,wechat.important,wechat.good,第9题(功能各有所长),第9题(都用使用需求和使用场景),第9题(社交圈在QQ和微信大致相似),第9题(无所谓，随便用),第9题(其他)
95,2,3,1,1,1,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7,6,6,7,7,5,4,6,6,4,4,6,6,-3,-3,-3,-3,-3
96,2,3,1,2,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,6,5,7,7,7,5,7,7,5,4,7,5,-3,-3,-3,-3,-3
97,2,3,1,1,3,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,7,7,7,7,5,7,7,4,3,7,7,-3,-3,-3,-3,-3
98,2,3,1,2,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,7,6,7,7,7,4,1,6,4,5,6,4,-3,-3,-3,-3,-3
99,1,3,1,1,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,7,5,7,4,4,4,7,4,1,7,5,-3,-3,-3,-3,-3
100,1,3,3,4,1,3,3,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
101,2,2,1,3,1,1,4,4,7,7,7,7,7,7,3,7,7,7,7,4,7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
102,2,2,1,1,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
103,2,3,2,1,3,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,7,7,4,6,7,7,4,6,5,-3,-3,-3,-3,-3
104,1,3,1,2,1,2,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,5,7,5,7,2,4,5,5,6,4,5,-3,-3,-3,-3,-3
105,2,3,1,4,1,1,4,2,7,7,6,7,7,7,2,7,7,6,7,7,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
106,1,3,2,4,1,1,3,2,7,7,7,7,7,7,5,7,7,6,6,7,7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
107,1,2,1,4,3,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,6,6,6,6,6,6,7,4,6,6,7,-3,-3,-3,-3,-3
108,2,3,1,2,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,7,7,7,7,7,4,4,6,5,5,6,4,-3,-3,-3,-3,-3
109,2,1,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,7,7,7,7,7,6,7,7,5,5,7,6,-3,-3,-3,-3,-3
110,2,1,1,4,1,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,6,7,7,7,6,3,5,6,6,6,7,5,-3,-3,-3,-3,-3
111,2,3,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7,7,7,7,7,7,5,7,7,7,4,7,6,-3,-3,-3,-3,-3
112,1,1,2,4,1,1,3,1,6,7,7,7,7,7,6,6,7,7,6,7,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
113,1,3,1,3,1,1,4,1,3,7,7,7,7,7,5,5,7,5,5,7,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
114,1,2,1,1,1,1,2,1,3,6,7,7,7,7,4,7,7,7,7,7,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
115,2,1,1,1,2,3,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0,0,1
116,2,1,1,1,3,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,7,7,7,6,7,4,5,7,5,4,7,6,-3,-3,-3,-3,-3
117,1,3,1,3,1,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,0,0,0
118,1,3,1,3,1,3,3,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,0,0
119,1,3,1,4,1,1,4,2,4,3,5,6,7,7,4,5,6,6,4,3,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
120,2,2,2,1,1,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
121,2,1,1,1,2,2,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,7,7,7,7,7,5,7,7,7,3,7,6,-3,-3,-3,-3,-3
122,1,3,3,4,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
123,2,3,1,1,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,1,0,0
124,2,3,1,4,1,1,2,1,4,6,6,7,7,7,4,6,6,6,6,6,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
125,1,3,1,4,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1
126,1,3,1,3,1,1,3,1,2,7,7,7,7,7,3,7,7,7,6,6,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
127,1,2,1,1,1,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,7,6,4,6,7,5,5,7,5,-3,-3,-3,-3,-3
128,1,2,1,1,1,3,4,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
129,2,1,1,1,1,1,4,4,3,6,5,7,7,6,3,4,7,5,4,5,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
130,1,1,1,3,1,1,3,2,1,6,6,7,4,3,1,4,5,5,2,5,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
131,2,1,1,1,1,2,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,5,7,5,3,6,2,4,6,3,2,6,4,-3,-3,-3,-3,-3
132,2,1,1,1,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,0,0,0
133,1,2,1,3,1,3,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,0,0
